,title,author,price
0,Программирование на Python для начинающих,"Майк, МакГрат", 9.61 € 12.01 €
1,Программирование на Java для начинающих,"Майк, МакГрат", 8.42 € 10.52 €
2,Параллельное и конкурентное программирование на Haskell,Марлоу С., 26.14 € 32.67 €
3,Программирование на языке OCaml,Мински Я., 32.69 € 40.86 €
4,Квантовые вычисления и функциональное программирование,Душкин Р.В., 11.42 € 14.27 €
5,Программирование на языке Go. Разработка приложений XXI века,Саммерфильд М., 29.42 € 36.78 €
6,Программирование на Visual Basic для начинающих,"Майк, МакГрат", 8.38 € 10.48 €
7,Программирование для детей.Делай игры и учи язык Scratch!,Свейгарт Э., 16.76 € 20.95 €
8,Программирование для детей. Учимся создавать игры на Scratch,Торгашева Ю.В., 9.18 € 11.47 €
9,Программирование для детей. Мои первые программы на Scratch,Торгашева Ю.В., 9.39 € 11.74 €
10,Программирование для детей. От основ к созданию роботов,Воронин И.В., 13.3 € 16.63 €
11,"Профессиональное программирование. HTML, JavaScript, PHP и MySQL. Джентльменский набор Web-мастера. 5-е издание, перераб. и доп.",Прохоренок Н.А., 23.53 € 29.41 €
12,Программирование для детей. Пять самых крутых игр на HTML и JavaScript,Уитни Д., 13.34 € 16.67 €
13,Программирование на языке высокого уровня. Программирование на языке Object Pascal (+ CD-ROM),"И. В. Абрамова, Немцова Т.И., С. Ю. Голова, Т. И. Немцова", 39.02 € 48.78 €
